model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
TM01148	TM01148F198P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000105006	J000106846	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00184	CN0486F016P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00914	EN1057F136P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00226	LG1179F2089P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01137	SK0259FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01303	TM01303F820P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000094290	J000095941	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01264	TM01264FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01130	TM01130F147P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000094918	J000099073	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01400	TM01400F1114P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01628	TM01628F528P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00345	ST1870F165P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01278	TM01278F722P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00930	UN1317F151P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000095633	J000100357	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000108200	J000113081	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01243	TM01243FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000101006	J000101984	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000100674	J000101974	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000101220	J000104076	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01053	RP2246FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01273	TM01273F707P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000099999	J000100807	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00298	PR1996F336P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01373	TM01373F1015P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00860	LG1429F264P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01373	TM01373F1015P0343P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00926	CN1611F000P0076P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00360	SA0082FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000108981	J000114457	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000101892	J000103725	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00376	SA0568F023P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01498	TM01498F11P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000100646	J000103693	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01354	TM01354F928P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000102680	SGJ102687F002P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00096	BR0851F004P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01594	TM01594FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNPTN
TM01565	TM01565F279P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01457	TM01457F1306P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00388	CN0428F1126P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000095635	J000097360	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000104256	J000105318	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000097253	J000102934	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00091	BR0901F433P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01044	LY2238A16P01P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00058	BN218FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01509	TM01509F041P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000101328	J000102291	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00136	CN1233F011P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00062	BN245F005P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00183	CN0458F1766P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01619	TM01619F497P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01231	TM01231F001P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00073	BN287F058P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01441	TM01441F1236P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000093555	J000095196	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00302	LG1306aF130P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00063	BN248F008P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00060	BN237FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000095054	J000102120	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
