model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
J000101121	J000101956	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00385	CN1571F2031P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000099327	J000101348	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000106143	DFAM-84910-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Trusight
TM00026	BL0479F1895P0002P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000101329	J000103067	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00298	PR1996F336P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000099999	J000100810	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00847	LG1410F250P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00097	BR1077F016P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01029	BL0215F124P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000115420	J000115916	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00112	BR1172F146P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00192	LG0567F669P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01168	TM01168F001P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00107	BR1936F227P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
J000096652	J000099828	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00226	LG1179F2089P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00884	LG0937F309P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM01498	TM01498F014P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00327	OVJX01FP0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00311	PA0231F1502P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01353	TM01353F056P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01353	TM01353F925P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00188	LG0520F434P0000P1000P2006P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01212	TM01212F463P0307P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01427	TM01427F1204P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00176	PA0165F629P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_ddPCR
TM00327	OVJX01F017P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM01160	TM01160F256P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000099327	J000100857	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00098	BR1126F030P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00186	LG0481FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_FISH
TM00931	PA2201F70P0000P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_ddPCR
TM00134	CN0330F215P0000P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00929	LV1026F11P021P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000117663	J000118476	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00999	BR1240F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
J000104117	J000104829	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000080739	J000094325	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00334	OV1110F024P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM01120	CNSTG0001F001P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01145	TM01145F189P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00226	LG1179F2089P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
TM01086	TM01086F269P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000106565	DFAM-16835-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Trusight
TM01215	TM01215F474P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00314	PA0258F006P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_ddPCR
J000095054	J000102120	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00926	CN1611FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00228	LG1186F1901P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00327	OVJX01FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTPTN
TM00062	BN245F	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00334	OV1110F024P0000P1008P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000100674	J000103088	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000103917	J000106043	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00334	OV1110F024P0000P1011P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_ddPCR
TM00916	OM1058F141P059P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000100365	J000102038	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00219	LG1049F1704P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00136	CN1233F011P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM01443	TM01443F1249P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00999	BR1240F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00327	OVJX01F017P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01263	TM01263F663P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00229	LG1189F1952P0002P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000106569	DFAM-61345-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	TEXDF
TM01441	TM01441F1237P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00928	LV1025F006P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00231	LG1197F385P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00914	EN1057F136P0051P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000104117	SGJ104123F001P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Actionseq20
TM00214	LG1011PE1607P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
J000093018	J000094915	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00091	BR0901FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000096053	J000100929	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01141	TM01141F170P0000P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00857	CN1294F052P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01386	TM01386F1075P6	xenograft	6	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Actionseq20
TM01510	TM01510F48P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00324	OV2022F394P0000P1002P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000094707	J000101141	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000078673	J000093813	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00063	BN248F005P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00063	BN248F008P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM01117	TM01117FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01386	TM01386F1075P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01014	CN0500F107P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00099	BR1367F033P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
TM01594	TM01594FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
J000080230	J000094535	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01373	TM01373F1015P0344P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00013	BL0058F037P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01594	TM01594F062P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTPTN
TM00016	BL0293F0593P0000P1000P2000P31296P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
TM01346	TM01346F911P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000095633	J000100357	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01354	TM01354F927P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000099706	J000101684	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00176	PA0165F629P0000P1000P2000P3042P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_ddPCR
TM00016	BL0293FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
TM01044	LY2238A16P01P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00206	LG0812PE1332P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00352	CN1854F000P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00862	CN0003F59P0163P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00165	CN0446F447P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
J000101328	J000103053	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00112	BR1172F146P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome
TM01063	AN0011F206P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
J000106526	J000116297	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00352	CN1854F000P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00334	OV1110F024P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00206	LG0812PE1330P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00256	LG1265F160P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00921	LG1348F198P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
J000079378	J000098243	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01148	TM01148F200P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01237	TM01237F560P0245P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01400	TM01400F1114P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00832	LG1191aF2114P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00077	BN294F091P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00165	CN0446F447P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00222	LG1102F1846P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
J000102630	J000106822	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00219	LG1049F1704P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_FISH
TM00208	LG0830F1385P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00203	LG0801F725P0000P1000P2000P3000P4074P5	xenograft	5	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00921	LG1348F198P0074P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01220	TM01220F488P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000119129	J000120248	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00888	CNC1023F069P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01039	KD2232F106P0000P1019P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
J000100365	J000101777	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00067	SN0264F050P0050P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00026	BL0479F1894P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM00857	CN1294F052P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_Illumina
TM01569	TM01569F288P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00080	BN303F015P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM00360	SA0082F006P0000P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00253	LG1260F097P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
J000079689	J000095142	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM00298	PR1996F336P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
J000079689	J000079689PT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Whole_Exome_TN
J000101121	J000101542	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
TM01212	TM01212F463P0000P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Other:_ddPCR
TM01079	TM01079F259P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Truseq_JAX
TM01446	TM01446F14P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	CTP
