model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
J000106526	BCM-3963	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00324	OV2022F394P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM01427	TM01427F1204P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00199	LG0703F940P0001P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00134	CN0330F216P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00039	SA0151F1887P0000P1014P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00233	LG1202F380P0000P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01273	TM01273F707P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00212	LG0978F1565P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM01063	AN0011F206P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00345	ST1870F165P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM01031	LG1502F412P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01325	SA0602F056P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00186	LG0481F231P0000P1000P2140P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000101006	J000103457	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
